 Locality,Type_of_property,Subtype_of_property,Price,Type_of_sale,Number_of_rooms,Area,Kitchen_type,Furnished,Open_fire,Terasse,Garden,Surface_of_land,Surface_plot_land,Number_of_facades,Swimming_pool,Building_condition
Woluwe-Saint-Lambert,House,Mixed-use building,425000,,4,270,USA hyper equipped,No,0,0,0,149,270,2,0,Good
Wilrijk,House,House,435000,,3,175,,No,0,0,0,121,,2,0,Just renovated
Deurne,House,Town-house,475000,,6,252,,No,0,0,0,247,,,0,
Ixelles,House,House,480000,,4,140,,No,0,0,0,70,,2,0,To be done up
Ellezelles,House,Villa,485000,,3,180,Semi equipped,No,0,0,0,1045,,4,0,Good
Auderghem,House,Apartment block,490000,,4,145,Semi equipped,No,0,0,0,,20,3,0,Good
Tienen,House,House,499000,,5,400,Installed,No,0,0,0,485,,,0,Good
Aubange,House,House,499000,,3,185,Installed,No,1,0,1200,1225,,,0,As new
Rixensart,House,House,530000,,3,180,Hyper equipped,No,1,0,70,140,,3,0,Good
HENNUYERES,House,Villa,540000,,3,185,,No,0,0,0,2222,,4,0,Good
Ixelles,House,House,550000,,7,150,,No,0,0,0,52,,2,0,To be done up
Uccle,House,Town-house,579000,,5,200,Hyper equipped,No,1,0,35,100,,2,0,As new
SINT-JORIS-WEERT,House,House,640000,,4,231,Installed,No,0,0,0,536,,3,0,Good
Liège,House,House,690000,,8,292,Not installed,No,0,0,0,,,,0,Good
Liège,House,Apartment block,690000,,8,292,Not installed,No,0,0,0,,,,0,Good
Braine-l'Alleud Ophain-Bois-Seigneur-Isaac,House,Villa,750000,,6,247,Installed,No,0,0,1300,1601,240,4,0,As new
Uccle,House,House,849000,,4,250,,No,0,0,0,490,,3,0,
Braine-l'Alleud,House,House,935000,,6,300,Hyper equipped,No,0,0,500,1000,,4,0,As new
Ophain-Bois-Seigneur-Isaac,House,House,935000,,6,300,Hyper equipped,No,0,0,500,1000,,4,0,As new
Auderghem,House,House,950000,,6,420,Hyper equipped,No,0,0,230,355,,2,0,Good
Grobbendonk,House,Villa,1350000,,4,503,Hyper equipped,No,1,0,0,951,,4,0,As new
Uccle,House,Villa,1695000,,4,450,Installed,No,0,0,350,800,,3,0,Good
Woluwe-Saint-Pierre,House,Villa,1775000,,7,475,Installed,No,0,0,1000,1195,666,4,0,To be done up
Schaerbeek,House,Apartment block,1950000,,12,585,USA hyper equipped,No,0,0,0,,,3,0,Just renovated
RHODE-SAINT-GENÈSE,House,House,1990000,,3,465,Installed,No,1,0,0,3500,,,0,As new
Uccle,House,Mansion,2290000,,7,540,Installed,No,0,0,110,236,,2,0,Good
Uccle,House,Villa,2495000,,5,425,Hyper equipped,No,0,0,1667,1667,234,4,0,As new
Woluwe-Saint-Lambert,House,House,2495000,,7,460,Hyper equipped,No,0,0,390,564,,2,0,Just renovated
Kraainem,House,Exceptional property,2550000,,6,600,USA hyper equipped,No,0,0,1650,2500,,4,0,As new
Uccle,House,Villa,2600000,,6,430,Installed,No,0,0,0,1425,,4,0,Good
Rhode-Saint-Genese,House,Villa,2750000,,5,715,USA uninstalled,No,1,0,0,6500,,4,0,As new
Knokke-Heist,House,Villa,3000000,,4,260,,No,0,0,1000,1171,,4,0,As new
BRUXELLES,House,House,3400000,,4,650,Hyper equipped,No,0,0,150,395,,2,0,Good
Woluwe-Saint-Pierre,House,Villa,5950000,,7,751,Hyper equipped,No,0,0,3000,3000,,4,0,As new
VICHTE,House,House,295000,,3,145,Hyper equipped,No,0,0,90,215,,2,0,Good
RHODE-SAINT-GENESE,House,Villa,2650000,,5,400,Installed,No,0,0,0,2490,,4,0,As new
Liège,House,House,159000,,4,118,Installed,No,0,0,276,347,71,2,0,To be done up
Wierde,House,House,280000,,3,97,USA semi equipped,No,0,0,0,776,,4,0,Good
Ganshoren,House,House,325000,,3,141,Semi equipped,No,0,0,150,221,,2,0,To be done up
Martelange,House,House,400000,,4,149,Semi equipped,No,0,0,0,408,,4,0,Good
PEUTIE,House,House,419000,,4,237,Installed,No,1,0,100,293,,2,0,Good
Gent,House,House,519000,,4,228,Installed,No,0,0,155,365,88,3,0,As new
Antwerpen,House,Mansion,556000,,5,235,USA hyper equipped,No,0,0,90,176,86,2,0,As new
Auderghem,House,House,650000,,4,194,USA hyper equipped,No,0,0,50,150,269,2,0,To be done up
Buizingen,House,Villa,910000,,4,394,Installed,Yes,2,0,0,3435,,4,0,Good
Uccle,House,Villa,2690000,New price,5,500,Hyper equipped,No,1,0,0,2600,,4,0,As new
Perwez,House,House,199000,,3,148,Installed,No,0,0,0,132,,,0,Good
Beloeil,House,Mixed-use building,240000,,4,250,,No,0,0,0,197,,3,0,To be done up
Beloeil,House,House,240000,,4,250,,No,0,0,0,197,,3,0,To be done up
Lissewege,House,House,299000,,3,118,Hyper equipped,No,0,0,0,112,,,0,As new
Blankenberge,House,House,305000,,2,133,Installed,No,0,0,130,215,,,0,As new
Virton Ethe,House,House,325000,New build,3,141,Installed,No,0,0,226,,,2,0,As new
Virton Ethe,House,House,342500,New build,3,139,Installed,No,0,0,398,,,3,0,As new
Chaumont-Gistoux,House,Villa,513100,New build,4,237,Hyper equipped,No,0,0,1189,1189,,4,0,As new
De Haan,House,House,619000,,9,380,Installed,No,0,0,440,680,,,0,Good
Boortmeerbeek,House,Villa,649000,,4,317,Hyper equipped,No,0,0,500,651,,,0,Good
Kontich,House,Villa,669000,,3,250,Hyper equipped,No,0,0,0,700,,,0,As new
Anderlecht,House,Apartment block,795000,New build,8,408,,No,0,0,12,162,,2,0,To be done up
Herentals,House,Villa,907500,New build,3,222,Hyper equipped,No,0,0,0,2613,,4,0,
Gavere,House,House,310000,,5,298,,No,0,0,0,525,280,2,0,To renovate
RAMEGNIES,House,Country house,225000,,3,115,Semi equipped,No,0,0,0,1480,,,0,To renovate
Antwerpen,House,Town-house,339000,,4,220,Installed,No,0,0,1,220,220,2,0,Good
Braine-le-Comte,House,House,375000,,4,220,Installed,No,0,0,100,250,,,0,Good
Braine-le-Comte,House,Mansion,695000,,5,323,Hyper equipped,No,1,0,0,8100,,4,0,To be done up
Leuven,House,House,895000,,8,,,No,0,0,0,67,,3,0,Good
Rhode-Saint-Genese,House,Villa,995000,,4,232,Hyper equipped,No,0,0,0,1600,,4,0,Good
Bruxelles,House,House,2100000,,4,300,Not installed,No,0,0,50,213,,2,0,To renovate
Auderghem,House,Apartment block,3600000,,21,1215,Installed,No,0,0,0,700,,2,0,Good
Dilbeek,House,Villa,475000,,3,150,Installed,No,0,0,0,660,,4,0,Good
Beauvechain,House,Villa,699000,,5,260,USA hyper equipped,No,0,0,2400,2400,,4,0,As new
RHODE-SAINT-GENÈSE,House,House,398000,,3,135,Not installed,No,0,0,1115,1281,,3,0,As new
Dilbeek,House,House,529000,,4,220,Installed,No,1,0,0,337,,2,0,Good
De Haan,House,House,205000,,3,136,Hyper equipped,No,0,0,0,161,,,0,Good
Bree,House,House,210000,,4,124,Installed,No,0,0,0,716,,,0,Good
Roeselare,House,House,245000,,3,125,Hyper equipped,No,0,0,0,240,,,0,As new
Maaseik,House,House,309000,,5,173,Installed,No,0,0,0,545,,,0,Good
Wetteren,House,House,,New price,4,260,Semi equipped,No,0,0,0,725,,,0,Good
Blankenberge,House,House,399000,,3,236,Installed,No,0,0,48,175,,,0,Good
Maaseik,House,Country house,449000,,3,283,Hyper equipped,No,0,0,0,864,,,0,Good
Ixelles,House,House,,New price,4,250,,No,0,0,29,120,,2,0,As new
COURT-SAINT-ÉTIENNE,House,Villa,325000,,3,115,Installed,No,0,0,0,635,,4,0,Good
Ronse,House,Villa,419000,,3,185,Hyper equipped,No,0,0,500,738,165,4,0,As new
Beerse,House,House,519000,,5,,Installed,No,1,0,0,1432,,4,0,Good
Balen,House,Mansion,635000,,6,452,,No,0,0,0,1930,,4,0,Good
Hoeilaart,House,Villa,950000,,4,300,Installed,No,0,0,830,830,,4,0,Good
Temse,House,House,219000,,3,135,Hyper equipped,No,0,0,75,140,,2,0,As new
Assebroek,House,House,269000,,3,235,Installed,No,1,0,0,178,,2,0,Good
Zulte,House,House,289000,,4,152,Installed,No,0,0,0,442,,,0,To be done up
Oosterzele Gijzenzele,House,House,387000,,5,282,Installed,No,0,0,0,559,,2,0,Good
Gent,House,House,439000,,7,192,Installed,No,0,0,17,73,,,0,Good
Ichtegem,House,House,449000,,4,200,Hyper equipped,No,0,0,1,813,,,0,As new
Rhode-Saint-Genèse,House,House,370000,,3,125,,No,0,0,112,300,,3,0,To be done up
WOLKRANGE,House,House,775000,,4,240,Installed,No,1,0,500,778,,4,0,As new
Melle,House,Villa,1078500,,6,288,Installed,Yes,0,0,0,26381,,4,0,To be done up
Uccle,House,Villa,,New price,6,500,Installed,No,2,0,1000,1165,,4,0,As new
Dour,House,House,99000,,2,91,Installed,No,0,0,22,80,58,3,0,To be done up
Colfontaine,House,House,140000,,2,90,Installed,No,0,0,200,340,,2,0,Good
Daverdisse Gembes,House,House,295000,,5,140,Installed,No,0,0,1139,1139,100,4,0,Good
Vilvoorde,House,House,325000,,2,110,Installed,No,0,0,15,164,,2,0,Good
Mechelen,House,House,345000,,4,186,Installed,No,0,0,200,360,,1,0,Good
Jabbeke,House,House,369000,,4,,Installed,No,1,0,0,,,3,0,Good
Assebroek,House,House,409500,,4,153,Installed,No,0,0,152,273,,2,0,As new
La Hulpe,House,Villa,445000,,3,150,Hyper equipped,No,0,0,0,663,,4,0,As new
Bruxelles,House,Mixed-use building,550000,,3,145,Semi equipped,No,0,0,0,59,,2,0,To renovate
Ixelles,House,House,840000,,4,189,,No,0,0,42,122,,2,0,Just renovated
Vivegnis,House,House,119000,,3,90,,No,0,0,830,1070,,2,0,To be done up
Herstal,House,House,145000,,4,127,,No,0,0,0,64,,3,0,To be done up
FLÉMALLE-HAUTE,House,House,149000,,2,90,Semi equipped,No,0,0,0,240,,3,0,Good
WONCK,House,House,169000,,2,86,,No,0,0,0,140,,2,0,Just renovated
NALINNES,House,House,170000,,3,,,No,0,0,0,275,,2,0,To renovate
Morlanwelz,House,House,170000,,3,190,Installed,No,0,0,30,60,,3,0,Good
Herstal,House,House,174000,,7,232,,No,0,0,0,779,,2,0,
Huy,House,House,179000,,5,184,Installed,No,0,0,0,107,,2,0,Good
Wetteren,House,House,179000,,2,75,Installed,No,0,0,0,60,,2,0,Good
Bassilly,House,House,180000,,3,126,,No,0,0,0,240,,2,0,Good
Ath,House,House,182000,,3,70,Semi equipped,No,0,0,0,57,,2,0,Just renovated
Huy,House,Mixed-use building,185000,,0,1200,Not installed,No,0,0,0,3356,400,2,0,To restore
Turnhout,House,House,199000,,3,125,Not installed,No,0,0,0,223,,2,0,To renovate
Harelbeke,House,House,205000,,4,144,,No,0,0,0,193,,2,0,
Fléron,House,House,219000,,4,130,Installed,No,0,0,100,352,,4,0,Good
Fleurus,House,House,225000,,4,124,Not installed,No,0,0,0,1000,,3,0,Good
Arlon,House,Apartment block,225000,,4,154,Semi equipped,No,0,0,0,50,,2,0,To renovate
Arlon,House,House,225000,,4,154,Semi equipped,No,0,0,0,50,,2,0,To renovate
HEULE,House,House,239000,,3,174,,No,0,0,0,175,,2,0,
Landen,House,House,249000,,2,102,,No,0,0,220,340,,2,0,Just renovated
Gembloux,House,House,249000,,7,250,Installed,No,0,0,250,445,,2,0,To renovate
Martelange,House,House,255000,,4,291,Semi equipped,No,0,0,0,4048,,4,0,To be done up
Vaux-sur-Sure,House,House,255000,,3,190,,No,0,0,0,494,,3,0,As new
Weelde,House,House,259000,,3,120,Installed,No,0,0,0,510,,4,0,Good
GRIVEGNÉE,House,House,264000,,3,150,Semi equipped,No,0,0,0,195,,,0,As new
BELLAIRE,House,House,269000,,6,212,Installed,No,0,0,0,433,,3,0,Good
MONT-SAINT-GUIBERT,House,Apartment block,275000,,1,115,Installed,No,0,0,0,153,,4,0,Good
MONT-SAINT-GUIBERT,House,Mixed-use building,275000,,1,115,Installed,No,0,0,0,153,,4,0,Good
Flémalle Awirs,House,House,275000,,3,180,Not installed,No,0,0,0,5356,120,3,0,To renovate
Athus,House,House,275000,,2,121,,No,0,0,0,209,,2,0,
Boom,House,House,278000,,3,123,Installed,No,0,0,0,170,,2,0,Good
Temse,House,House,279000,,3,140,,No,0,0,100,190,,2,0,Good
FLÉRON,House,House,279500,,4,117,Not installed,No,0,0,308,164,,3,0,
FLÉRON,House,House,294500,,4,117,Not installed,No,0,0,183,350,,3,0,
Herstal,House,Apartment block,299000,,7,232,,No,0,0,0,779,,2,0,
Herstal,House,House,299000,,5,222,,No,0,0,180,516,,3,0,Good
Wijgmaal,House,House,315000,,3,101,,No,0,0,0,139,,2,0,Just renovated
Uccle,House,House,320000,,3,145,,No,0,0,0,342,,2,0,To renovate
Zwevegem,House,House,325000,,3,160,Installed,No,0,0,0,389,,3,0,Good
Moen,House,House,325000,,3,160,Installed,No,0,0,0,389,,3,0,Good
Arlon,House,House,340000,,3,168,Installed,No,0,0,0,180,,2,0,Good
Lendelede,House,Villa,349000,,3,275,,No,0,0,0,1059,,4,0,
Beersel,House,House,350000,,4,172,Not installed,No,0,0,0,164,,2,0,
Lot,House,House,350000,,4,172,Not installed,No,0,0,0,170,,2,0,
Tournai,House,Mixed-use building,350000,,2,340,,No,0,0,0,260,,2,0,Good
Tournai,House,Mansion,350000,,2,340,,No,0,0,0,260,,2,0,Good
Heist-op-den-Berg,House,House,359000,,4,180,Installed,No,0,0,315,463,,3,0,
Asse,House,House,385000,,3,191,,No,1,0,0,978,,4,0,
Asse,House,Villa,385000,,3,191,,No,1,0,0,978,,4,0,
Asse,House,Country house,385000,,3,191,,No,1,0,0,978,,4,0,
BEKKERZEEL,House,Villa,385000,,3,191,,No,1,0,0,1021,,4,0,
BEKKERZEEL,House,Country house,385000,,3,191,,No,1,0,0,1021,,4,0,
Beaumont,House,House,390000,,6,331,Not installed,No,0,0,0,1155,,4,0,
Huldenberg,House,Villa,398000,,3,120,USA installed,No,0,0,0,410,,4,0,Good
Herseaux,House,House,399000,,5,180,Installed,No,1,0,1762,2326,,4,0,Just renovated
WOLKRANGE,House,House,410000,,3,281,Installed,No,0,0,0,282,,3,0,Good
WOLKRANGE,House,Apartment block,410000,,3,281,Installed,No,0,0,0,282,,3,0,Good
Waregem,House,House,410000,,3,153,Installed,No,0,0,0,270,,3,0,As new
Sterrebeek,House,House,419000,,2,120,Not installed,No,0,0,350,576,,4,0,To renovate
Ixelles,House,Mixed-use building,420000,,3,100,USA hyper equipped,No,0,0,0,45,,3,0,Good
MONT-SAINT-GUIBERT,House,Villa,425000,,5,156,Installed,No,0,0,0,761,,4,0,Good
Ganshoren,House,House,460000,,2,190,Installed,No,0,0,30,125,,4,0,As new
Ganshoren,House,House,460000,,2,190,Installed,No,0,0,31,125,,4,0,As new
TISSELT,House,House,475000,,4,190,,No,0,0,0,2790,,4,0,To renovate
AMBERLOUP,House,House,475000,,5,265,Semi equipped,No,0,0,0,3241,,4,0,Good
Ronse,House,Mixed-use building,498000,,1,240,Installed,No,0,0,0,2311,,4,0,Good
Ronse,House,Country house,498000,,1,240,Installed,No,0,0,0,2311,,4,0,Good
Woluwe-St-Lambert,House,House,499000,,4,160,Not installed,No,0,0,40,160,182,2,0,To be done up
ZEVERGEM,House,Villa,580000,,3,210,Installed,No,0,0,0,629,,4,0,Good
Aubange,House,House,615000,,4,398,Installed,No,0,0,0,1740,,4,0,Good
Deurle,House,Country house,630000,,2,175,Installed,No,0,0,0,1073,,4,0,Just renovated
ERTVELDE,House,Villa,649500,,3,340,Hyper equipped,No,0,0,0,630,,4,0,
BIEZ,House,House,685000,,3,217,Hyper equipped,No,1,0,0,2000,,4,0,As new
Tervuren,House,Villa,695000,,5,210,Hyper equipped,No,0,0,500,700,,4,0,To be done up
Izegem,House,Villa,725000,,7,436,,No,0,0,0,1980,,4,0,
Rixensart,House,Villa,749000,,9,420,Semi equipped,No,0,0,0,1296,,4,0,Good
Ardooie,House,House,749000,,5,589,,No,0,0,0,929,,2,0,
Ardooie,House,Mixed-use building,749000,,5,589,,No,0,0,0,929,,2,0,
Bruxelles,House,House,775000,,5,264,Hyper equipped,No,0,0,20,98,324,2,0,Good
Dilbeek,House,Exceptional property,839000,,5,,Installed,No,0,0,0,6234,,4,0,To be done up
Knokke-Zoute,House,House,889000,,3,94,,No,0,0,0,36,,2,0,As new
Uccle,House,Mixed-use building,895000,,3,374,Installed,No,0,0,0,170,,3,0,To renovate
Lasne,House,Exceptional property,895000,,5,325,Installed,No,0,0,0,4780,,4,0,To be done up
Lissewege,House,Manor house,895000,,3,203,Hyper equipped,No,0,0,2440,2724,,4,0,As new
Gent,House,Apartment block,900000,,4,275,,No,0,0,0,149,,2,0,
Knokke-Heist,House,House,920000,,4,164,USA hyper equipped,No,0,0,0,,,2,0,As new
Uccle,House,House,975000,,5,300,Installed,No,0,0,300,760,375,4,0,To renovate
Wavre,House,Mixed-use building,975000,,5,460,Installed,No,0,0,0,,,2,0,To be done up
Hoeilaart,House,Villa,1045000,,4,400,Hyper equipped,No,0,0,1000,1400,,4,0,As new
Kraainem,House,House,1090000,,5,280,USA hyper equipped,No,0,0,2600,3000,,4,0,As new
Uccle,House,Villa,1200000,,5,400,USA hyper equipped,No,0,0,0,2500,,4,0,To renovate
Waregem,House,Villa,1200000,,3,319,Semi equipped,No,1,0,0,10000,,4,0,To renovate
Hoeilaart,House,House,1288000,,4,390,Hyper equipped,No,0,0,1800,2500,450,4,0,Good
Overijse,House,Villa,1295000,,6,467,Hyper equipped,No,0,0,2300,2420,,4,0,To be done up
Auderghem,House,Exceptional property,1340000,,4,330,Hyper equipped,No,0,0,500,670,,3,0,Just renovated
Uccle,House,House,1400000,,6,410,Hyper equipped,No,0,0,0,1120,,4,0,To be done up
Woluwe-Saint-Pierre,House,House,1425000,,6,380,USA installed,No,0,0,650,800,,4,0,Good
Grez-Doiceau,House,House,1650000,,4,660,,No,0,0,51,5857,,4,0,To be done up
Jette,House,Villa,1699000,,5,647,USA hyper equipped,No,0,0,400,951,,4,0,As new
Woluwe-Saint-Pierre,House,House,1775000,,7,475,Installed,No,0,0,200,1195,,4,0,To be done up
Kraainem,House,Villa,1995000,,8,500,Hyper equipped,No,0,0,2120,2410,,4,0,Good
Uccle,House,House,2200000,,6,588,Installed,No,0,0,1000,1300,,4,0,To renovate
Uccle,House,Villa,2200000,,5,588,,No,0,0,0,1300,,4,0,To be done up
Uccle,House,Villa,2350000,,5,310,Hyper equipped,No,0,0,1300,2285,,4,0,As new
Uccle,House,House,2495000,,4,450,Hyper equipped,No,0,0,750,1050,,4,0,As new
Wezembeek-Oppem,House,Villa,2750000,,7,475,Installed,No,0,0,7700,7925,,4,0,Good
Uccle,House,House,2950000,,5,750,Installed,No,0,0,2000,2630,1000,3,0,Good
Rhode-Saint-Genèse,House,House,2950000,,5,655,Installed,No,0,0,0,2156,725,4,0,As new
Moerbeke-Waas,House,Villa,2950000,,7,1100,Installed,No,0,0,0,27067,,4,0,As new
Ixelles,House,Mansion,4250000,,16,1200,,No,0,0,0,700,,2,0,As new
Forest,House,Exceptional property,4950000,,6,800,Hyper equipped,No,0,0,0,4895,,4,0,As new
Liedekerke,House,House,,New build,4,142,Installed,No,0,0,0,,,3,0,
Verlaine,House,House,115000,,1,82,Installed,No,0,0,0,,,2,0,Good
Tongeren,House,House,Reserve price : 250000,Online sale,4,162,Installed,No,0,0,415,2502,,4,0,As new
Oupeye,House,House,275000,,4,155,Installed,No,0,0,1,1140,,3,0,As new
Amay,House,House,,New price,3,128,Installed,No,1,0,0,2200,,4,0,Good
Meise,House,House,585000,,3,275,Hyper equipped,No,0,0,500,633,,4,0,As new
Hasselt,House,Villa,750000,,4,344,Installed,No,0,0,0,1013,,4,0,Good
Woluwe-Saint-Lambert,House,House,795000,,5,260,USA installed,No,1,0,71,231,,2,0,As new
Bruxelles,House,Mixed-use building,1275000,,7,480,USA installed,No,0,0,0,136,,2,0,Good
Beveren-aan-de-Ijzer,House,House,255000,,4,118,Hyper equipped,No,0,0,92,188,,,0,As new
Brakel,House,House,299000,,2,120,Semi equipped,No,0,0,40,143,,,0,To be done up
Zoersel,House,House,375000,,5,217,Installed,No,0,0,0,551,,,0,Good
Gent,House,House,569000,,6,239,Installed,No,2,0,0,104,,,0,To renovate
Malmedy,House,House,284500,New build,3,,Not installed,No,0,0,0,219,,3,0,As new
Mons,House,House,350000,,3,176,,No,0,0,2878,3037,159,4,0,Good
Glabbeek Attenrode,House,House,360000,,3,185,Hyper equipped,No,0,0,0,1461,,4,0,Good
COURT-SAINT-ETIENNE,House,House,395000,New build,4,188,Installed,No,0,0,0,371,,3,0,
COURT-SAINT-ETIENNE,House,House,425000,New build,4,185,Installed,No,0,0,0,1592,,3,0,
SAINT-ANDRÉ (DALHEM),House,House,455000,New build,3,153,USA hyper equipped,No,0,0,500,900,,3,0,
Lasne,House,House,495000,,4,185,Hyper equipped,No,0,0,500,500,,4,0,Good
Braine-l'Alleud,House,Villa,495000,,2,150,Installed,No,1,0,0,1000,,4,0,Good
Tremelo,House,House,540000,New build,3,212,Installed,No,0,0,0,467,,3,0,
Kemzeke,House,Country house,575000,,6,310,Installed,No,0,0,0,1766,,4,0,To be done up
Wortegem-Petegem,House,Exceptional property,640000,New build,5,300,Not installed,No,0,0,906,1086,180,4,0,As new
Bornem,House,Villa,645000,New build,4,300,Hyper equipped,No,1,0,500,1361,1361,4,0,As new
Woluwe-Saint-Pierre,House,Exceptional property,5950000,New build,6,751,Hyper equipped,No,0,0,2500,3000,245,4,0,As new
Vaux-sous-Chèvremont,House,House,115000,,2,90,,No,0,0,0,115,,3,0,
Leffinge,House,House,169000,,4,185,Semi equipped,No,0,0,0,380,,,0,To be done up
Leffinge,House,House,,New price,4,185,Semi equipped,No,0,0,0,380,,,0,To be done up
Destelbergen,House,House,279000,,2,90,Hyper equipped,No,0,0,0,102,,2,0,As new
Edegem,House,House,599000,,4,212,Semi equipped,No,0,0,55,180,,2,0,Just renovated
Knokke-Zoute,House,Villa,6900000,,7,463,,No,0,0,0,1083,,4,0,As new
Liege,House,House,107000,,2,70,Semi equipped,No,0,0,0,70,,2,0,To be done up
Beyne-Heusay,House,House,129000,,2,110,Semi equipped,No,0,0,0,100,72,3,0,To be done up
Liège Jupille-sur-Meuse,House,House,150000,,3,95,Installed,No,0,0,0,57,42,2,0,As new
Zoutleeuw,House,House,185000,,3,173,Not installed,No,0,0,156,620,131,4,0,To renovate
AUVELAIS,House,House,249000,,3,175,Installed,No,0,0,0,156,,3,0,Just renovated
Ittre,House,Villa,695000,,5,304,Installed,No,0,0,3266,3266,,4,0,Good
Zonhoven,House,Villa,695000,,3,381,Installed,No,1,0,0,831,,4,0,Good
Aalst,House,House,140000,,2,132,,No,0,0,0,98,,3,0,To renovate
Tremelo,House,Villa,529000,,5,275,Installed,No,1,0,0,1385,176,4,0,Good
Uccle,House,House,575000,,4,270,Semi equipped,No,0,0,156,252,,2,0,As new
Schaerbeek,House,Mansion,650000,,5,256,Hyper equipped,No,0,0,0,60,,2,0,As new
Uccle,House,Villa,1350000,,5,325,Installed,No,0,0,0,2100,,4,0,As new
EKSAARDE,House,Villa,1400000,,4,666,,No,10,0,0,4398,,4,0,Good
Wavre,House,Apartment block,538000,New build,2,170,Hyper equipped,No,0,0,0,,,2,0,As new
Beveren-aan-de-Ijzer,House,House,219500,,3,115,Hyper equipped,No,0,0,268,341,,,0,As new
Roesbrugge,House,House,219500,,3,115,Hyper equipped,No,0,0,268,341,,,0,As new
Blankenberge,House,House,275000,,3,113,Hyper equipped,No,0,0,0,124,,,0,Good
Gent,House,House,496000,,16,305,Semi equipped,No,0,0,0,305,335,,0,To be done up
Sint-Amandsberg,House,Mixed-use building,496000,,4,335,Semi equipped,No,0,0,0,305,305,,0,To be done up
Waterloo,House,Villa,820000,,4,225,USA uninstalled,No,1,0,0,1046,,,0,As new
Louvain-La-Neuve,House,House,375000,New build,3,199,Installed,No,0,0,146,215,,2,0,
Louvain-La-Neuve,House,House,410000,New build,3,199,Installed,No,0,0,150,220,,2,0,
Mouscron,House,House,179000,,4,156,Semi equipped,No,0,0,170,285,,2,0,Just renovated
Zingem,House,House,248500,,3,146,,No,0,0,0,531,174,4,0,To renovate
Huy,House,Exceptional property,400000,,3,,Semi equipped,No,0,0,0,1610,,4,0,Just renovated
Ronse,House,House,449000,,2,198,,No,0,0,0,3030,325,4,0,As new
Ronse,House,Bungalow,449000,,2,198,,No,0,0,0,3030,325,4,0,As new
Passendale,House,Villa,764750,,5,437,Hyper equipped,No,1,0,600,1133,,4,0,As new
Uccle,House,House,2250000,,5,600,Hyper equipped,No,0,0,2500,2500,,4,0,As new
Gent,House,House,295000,,2,110,Hyper equipped,No,0,0,0,70,,,0,Good
Zoersel,House,Villa,549000,,2,193,Hyper equipped,No,0,0,1300,1642,,,0,As new
Brasschaat,House,House,1065000,New price,4,484,Installed,No,0,0,0,7122,,4,0,To renovate
Liège,House,House,70000,,2,89,Semi equipped,No,0,0,0,34,,,0,To renovate
Izegem,House,House,260000,,4,269,Semi equipped,No,0,0,0,201,,2,0,
Attert,House,Other properties,400000,,1,500,Not installed,No,0,0,3301,3546,,3,0,To restore
Dion,House,House,495000,,5,225,Hyper equipped,No,0,0,1132,1232,,,0,As new
Overijse,House,House,540000,,3,162,Installed,No,0,0,3251,3251,,4,0,Just renovated
Hombeek,House,Exceptional property,1200000,,3,415,,No,0,0,10000,10601,,4,0,Good
Antwerpen 1,House,House,1450000,,4,375,Hyper equipped,No,0,0,35,156,,2,0,As new
Turnhout,House,House,229000,,3,,Semi equipped,No,0,0,48,202,72,2,0,Good
Lede,House,House,265000,,3,200,Installed,No,0,0,0,293,,3,0,Good
Liege,House,Mansion,449000,,4,240,Installed,No,0,0,0,280,73,2,0,Good
Affligem,House,Exceptional property,875000,,3,430,Hyper equipped,No,0,0,2300,2550,580,3,0,As new
BOSSUT-GOTTECHAIN,House,House,900000,,6,235,Hyper equipped,No,0,0,0,1678,,,0,As new
Tienen,House,House,385000,,3,161,Installed,No,0,0,620,840,88,3,0,Good
Nandrin,House,House,,life annuity,3,140,Installed,No,0,0,0,1020,,3,0,Good
HEURE,House,House,78000,,1,30,Semi equipped,Yes,0,0,0,530,,4,0,
MOHA,House,House,79500,,2,,Semi equipped,No,0,0,0,162,,3,0,To renovate
ChÃtelineau,House,House,80000,,2,85,Semi equipped,No,0,0,35,150,85,2,0,To be done up
Jumet,House,Mixed-use building,99900,,4,229,Not installed,No,0,0,0,340,300,2,0,To renovate
Charleroi Dampremy,House,House,109900,,2,125,Semi equipped,No,0,0,0,80,135,3,0,Good
Charleroi Dampremy,House,House,110000,,2,125,Semi equipped,No,0,0,70,250,100,2,0,To be done up
Enines,House,House,115000,,1,50,Semi equipped,No,0,0,0,43,33,2,0,Good
Bouffioulx,House,House,119900,,2,90,Installed,No,0,0,0,67,33,3,0,Good
Meix-devant-Virton,House,House,122000,,3,241,Not installed,No,0,0,0,755,,3,0,To renovate
Libramont-Chevigny,House,House,135000,,2,136,Not installed,No,0,0,0,178,,2,0,To renovate
Lessines,House,Mixed-use building,139000,,5,200,Not installed,No,0,0,0,60,,,0,
Lessines,House,House,139000,,5,200,Not installed,No,0,0,0,60,,,0,
Charleroi Gilly,House,House,140000,,3,227,Installed,No,0,0,50,143,60,3,0,Good
Quaregnon,House,House,142500,,4,135,USA semi equipped,No,0,0,0,160,70,2,0,Good
Charleroi Dampremy,House,House,144900,,3,160,Semi equipped,No,0,0,150,370,161,3,0,To be done up
Quaregnon,House,House,147500,,2,125,Hyper equipped,No,0,0,25,151,80,2,0,As new
Huy,House,Mixed-use building,149000,,2,134,Semi equipped,No,0,0,0,,,2,0,Just renovated
